tax_id	name_txt
5637	Polyporus
367110	Neurospora crassa OR74A
308745	Aspergillus rambellii
2025994	Coniella lustricola
5643	Trametes cinnabarina
196109	Microdochium bolleyi
356882	Valsa malicola
2656787	Venustampulla echinocandica
656916	Aspergillus arachidicola
685588	Galerina marginata CBS 339.88
106004	Leucosporidium creatinivorum
92696	Steccherinum ochraceum
718367	Peniophora sp. CBMAI 1063
1450535	Aspergillus sclerotioniger CBS 115572
1450537	Aspergillus homomorphus CBS 101889
1450538	Aspergillus violaceofuscus CBS 115571
1450539	Aspergillus saccharolyticus JOP 1030-1
1580	Levilactobacillus brevis
240176	Coprinopsis cinerea okayama7#130
139825	Sparassis crispa
149040	Mollisia scopiformis
240179	Euphrasia nankotaizanensis
510516	Aspergillus oryzae RIB40
38448	Monilinia fructicola
660025	Fusarium oxysporum f. sp. conglutinans Fo5176
1043002	Aureobasidium pullulans EXF-150
1043003	Aureobasidium melanogenum CBS 110374
1043004	Aureobasidium namibiae CBS 147.97
1043005	Aureobasidium subglaciale EXF-2481
660029	Fusarium oxysporum NRRL 32931
1081914	Monosporascus sp. mg162
1442368	Fonsecaea pedrosoi CBS 271.37
1442369	Rhinocladiella mackenziei CBS 650.93
48697	Penicillium freii
1442371	Fonsecaea multimorphosa CBS 102226
1442373	Achatina achatina
1209926	Colletotrichum orchidophilum
113226	Pseudocercospora musae
1209931	Colletotrichum salicis
498257	Verticillium dahliae VdLs.17
303698	Penicillium steckii
2447956	Antrodiella citrinella
38488	Botryotinia calthae
708187	Colletotrichum chlorophyti
708197	Colletotrichum tofieldiae
441959	Talaromyces stipitatus ATCC 10500
246385	Ogataea siamensis
181874	Panaeolus cyanescens
246387	[Candida] sithepensis
317047	Kuraishia capsulata
1392247	Morchella conica CCBAS932
1276538	Zymoseptoria tritici ST99CH_3D7
2282107	Pyrrhoderma noxium
1392250	Aspergillus steynii IBT 23096
1047168	Zymoseptoria brevis
1665	Arthrobacter globiformis
348802	Exophiala xenobiotica
576137	Phialocephala subalpina
29323	Thermoanaerobacter brockii
4751	Fungi
209559	Aspergillus alliaceus
660122	Fusarium vanettenii 77-13-4
703135	Amanita thiersii Skay4041
341663	Aspergillus terreus NIH2624
701091	Bipolaris maydis C5
1325734	Fusarium duplospermum
1325737	Fusarium sp. AF-6
34475	Rhodofomes roseus
42673	Fusarium nygamai
97972	Periconia macrospinosa
1835702	Penicillium arizonense
1664694	Phialophora attinorum
253628	Verruconis gallopava
100035	Massariosphaeria phaeospora
27334	Penicillium expansum
1445577	Colletotrichum fioriniae PJ7
236234	Diplodia corticola
1341132	Aspergillus welwitschiae
27342	Schizopora paradoxa
109264	Aspergillus bombycis
51923	Ogataea pignaliae
306901	Chaetomium globosum CBS 148.51
51926	[Candida] sonorensis
51927	[Candida] succiphila
41688	Lomentospora prolificans
1849047	Coleophoma cylindrospora
348901	Cercospora zeina
145126	Arion ater
460519	Komagataella phaffii
1156840	Radulodon casearius
1432307	Sclerotinia borealis F-4128
264951	Paecilomyces variotii
61186	Monilinia laxa
500485	Penicillium rubens Wisconsin 54-1255
742152	Wolfiporia cocos MD-104 SS10
60169	Penicillium polonicum
515849	Podospora anserina S mat+
60172	Penicillium solitum
858893	Exophiala dermatitidis NIH/UT8656
1081102	Niveomyces insectorum RCEF 264
60175	Penicillium nalgiovense
670483	Gloeophyllum trabeum ATCC 11539
91928	Exophiala spinifera
767769	Aspergillus brasiliensis CBS 101740
300826	Pichia sp. BZ159
121627	Talaromyces rugulosus
767770	Aspergillus tubingensis CBS 134.48
155417	Monosporascus ibericus
599839	Fibroporia radiculosa
36643	Aspergillus avenaceus
36646	Penicillium coprophilum
985895	Plenodomus lingam JN3
91943	Hortaea werneckii
