taxid	score
0	0.0
2759	5.85338556894615e-07
4751	5.147607649344967e-06
4890	8.799795844736402e-06
4891	0.0001535626535626
4892	0.0001562988433885
1156497	0.0017006802721088
461281	0.008695652173913
5042	0.0001153269519086
147545	7.966223213574445e-05
5204	1.6585948384528626e-05
155619	2.0128014170121976e-05
1131492	0.0001320480654958
5303	0.0001989653800238
460517	0.0588235294117647
115784	0.003012048192771
2	1.813677303279492e-06
33208	8.363483692043149e-07
5052	0.0003835826620636
1131624	0.0058479532163742
396331	0.0020661157024793
1224	4.450992348744152e-06
4922	0.5
6447	2.1780323655609524e-05
6448	2.8377649763046623e-05
6527	8.750437521876094e-05
2822231	0.5
460519	0.25
5073	0.0002142704092564
870730	1.0
2492674	0.25
5317	0.000502512562814
4919	0.0026246719160104
80864	0.0001965408805031
81051	0.1111111111111111
69782	1.0
33202	0.0069444444444444
264951	0.5
80840	4.411505205576143e-05
28216	3.412154092878834e-05
283	0.0014471780028943
28211	1.4812620352540363e-05
6528	0.025
50262	1.0
5086	0.0714285714285714
5087	0.25
40380	1.0
34028	1.0
33178	0.1428571428571428
356	2.8819274330672355e-05
528	0.0008183306055646
42190	1.0
1239	1.1022320198401765e-05
118882	0.0004899559039686
5076	0.2
310468	1.0
50267	1.0
246385	1.0
1249076	1.0
4923	1.0
51923	1.0
1442373	1.0
82310	0.5
75736	1.0
51926	1.0
246387	1.0
5477	1.0
186801	8.115565654926148e-05
68295	0.002016129032258
186814	0.0022421524663677
1754	0.0059523809523809
29323	0.2
75735	0.0074626865671641
2028206	0.0142857142857142
82309	0.0158730158730158
515647	0.1666666666666666
1156840	1.0
6656	1.0751797969415437e-06
50557	1.281909943262666e-06
50265	1.0
7041	1.097972045631718e-05
7080	0.0004027386226339
5637	0.0071428571428571
4925	1.0
1378263	1.0
2767886	0.0178571428571428
36026	1.0
6533	0.0012610340479192
6535	1.0
147550	2.498500899460324e-05
1028384	0.0003852080123266
681950	0.0004524886877828
5455	0.0004543389368468
31870	0.1111111111111111
766764	0.0008673026886383
5475	0.0045045045045045
5482	0.0833333333333333
201174	1.1869999762600006e-05
1760	1.2118714931468667e-05
85006	4.092657771957109e-05
1268	0.0001059883412824
1663	0.000169577751399
1665	0.5
6540	0.0007651109410864
6542	0.0007880220646178
145126	0.25
6529	0.1111111111111111
2749756	0.1111111111111111
5499	0.5
53649	1.0
80827	0.0555555555555555
1156966	1.0
36024	1.0
36023	1.0
2315438	0.5
2315439	1.0
91061	1.3462936535717171e-05
186826	7.42831674342594e-05
33958	0.0002538071065989
1580	0.1111111111111111
317045	0.0277777777777777
317047	0.5
644223	1.0
452339	0.0140845070422535
452340	0.0147058823529411
40443	0.05
104355	0.5
147541	3.98914951332376e-05
2726947	0.0002896032435563
93133	0.0003742514970059
51927	1.0
