source	target	db
Komagataella phaffii	ALOX2_KOMPG	uniprot
Candida metapsilosis	A0A8H7ZJI5_9ASCO	uniprot
Ogataea polymorpha	A0A1B7SJY0_9ASCO	uniprot
Pseudallescheria apiosperma	A0A084GCK7_PSEDA	uniprot
Trichomonascus ciferrii	A0A642UJ42_9ASCO	uniprot
Starmerella bombicola	A0A024FB95_STABO	uniprot
Candida boidinii	Q5S057_CANBO	uniprot
Komagataella pastoris	A0A1B2JII2_PICPA	uniprot
Thanatephorus cucumeris	M5CF32_THACB	uniprot
Blastobotrys adeninivorans	A0A060TJ17_BLAAD	uniprot
Candida succiphila	A5LGE6_9ASCO	uniprot
Colletotrichum tabaci	A0A8K1HUA6_9PEZI	uniprot
Ogataea trehalophila	A5LGF4_9ASCO	uniprot
Yarrowia lipolytica	Q6CEP8_YARLI	uniprot
Candida boidinii	Q5S058_CANBO	uniprot
Thanatephorus cucumeris	M5C7F4_THACB	uniprot
Ogataea minuta	A5LGE4_9ASCO	uniprot
Candida tropicalis	C5MAH1_CANTT	uniprot
Ogataea wickerhamii	A5LGE8_9ASCO	uniprot
Ogataea henricii	A5LGF0_9ASCO	uniprot
Pseudallescheria apiosperma	A0A084FZ29_PSEDA	uniprot
Yarrowia sp.	A0A8J5BKG4_9ASCO	uniprot
Pseudallescheria apiosperma	A0A084FVR4_PSEDA	uniprot
Ogataea methanolica	Q9UVU2_OGAME	uniprot
Komagataella phaffii	ALOX1_KOMPC	uniprot
Pseudallescheria apiosperma	A0A084GBF2_PSEDA	uniprot
Trichomonascus ciferrii	A0A642V8X8_9ASCO	uniprot
Phanerodontia chrysosporium	A0A977TIR6_PHACH	uniprot
Pseudallescheria apiosperma	A0A084GDC9_PSEDA	uniprot
Ogataea methylovora	A5LGE3_9ASCO	uniprot
Pseudallescheria apiosperma	A0A084FW90_PSEDA	uniprot
Thanatephorus cucumeris	M5C8F8_THACB	uniprot
Zygosaccharomyces rouxii	A0A1Q2ZZ65_ZYGRO	uniprot
Trichomonascus ciferrii	A0A642VDA0_9ASCO	uniprot
Pichia angusta	ALOX_PICAN	uniprot
Gloeophyllum trabeum	A8DPS4_GLOTR	uniprot
Zygosaccharomyces rouxii	A0A1Q3A4E0_ZYGRO	uniprot
Spathaspora sp.	A0A421JRD1_9ASCO	uniprot
Pichia sp.	Q5S059_9ASCO	uniprot
Pseudallescheria apiosperma	A0A084G0M1_PSEDA	uniprot
Torulaspora delbrueckii	G8ZNE6_TORDE	uniprot
Colletotrichum destructivum	A0A8K1HW99_9PEZI	uniprot
Thanatephorus cucumeris	M5C2L8_THACB	uniprot
Ogataea thermomethanolica	A0A067YIW8_9ASCO	uniprot
Pichia sp.	Q5S060_9ASCO	uniprot
Thanatephorus cucumeris	M5CC52_THACB	uniprot
Zygosaccharomyces mellis	A0A4C2EBY4_9SACH	uniprot
Ogataea pini	Q6TAW1_OGAPI	uniprot
Candida boidinii	ALOX_CANBO	uniprot
Candida sonorensis	A5LGD9_9ASCO	uniprot
Pichia angusta	A6PZG8_PICAN	uniprot
Ogataea minuta	Q1JUK7_9ASCO	uniprot
Thanatephorus cucumeris	M5C784_THACB	uniprot
Pseudallescheria apiosperma	A0A084GGR8_PSEDA	uniprot
Purpureocillium takamizusanense	A0A9Q8V9V0_9HYPO	uniprot
Rosellinia necatrix	A0A1W2TQY8_ROSNE	uniprot
Yarrowia sp.	A0A8J5CMB5_9ASCO	uniprot
Komagataella pastoris	A0A1B2JBK5_PICPA	uniprot
Kuraishia capsulata	A5LGE7_9ASCO	uniprot
Ogataea methanolica	Q9UVU1_OGAME	uniprot
Ogataea pignaliae	A5LGE2_9ASCO	uniprot
Schwanniomyces vanrijiae	A9ZSY9_9ASCO	uniprot
Ogataea minuta	A5LGF1_9ASCO	uniprot
Zygosaccharomyces rouxii	C5DZ68_ZYGRC	uniprot
Kuraishia capsulata	W6MF75_9ASCO	uniprot
Moniliophthora perniciosa	I7CMK2_MONPR	uniprot
Thanatephorus cucumeris	M5CB66_THACB	uniprot
Ogataea glucozyma	A5LGE9_9ASCO	uniprot
Ogataea pignaliae	A5LGE1_9ASCO	uniprot
Candida methanosorbosa	A5LGE5_9ASCO	uniprot
Candida subhashii	A0A8J5QSW1_9ASCO	uniprot
Schwanniomyces vanrijiae	A9ZSZ0_9ASCO	uniprot
Thanatephorus cucumeris	M5CAV1_THACB	uniprot
Komagataella phaffii	ALOX2_KOMPC	uniprot
Lachancea fermentati	A0A1G4MGC2_LACFM	uniprot
Komagataella phaffii	ALOX1_KOMPG	uniprot
Pichia angusta	A6PZG9_PICAN	uniprot
Zygosaccharomyces rouxii	C5E503_ZYGRC	uniprot
Ogataea naganishii	A5LGF2_9ASCO	uniprot
Zygosaccharomyces mellis	A0A4C2EFJ1_9SACH	uniprot
Pseudallescheria apiosperma	A0A084G7M0_PSEDA	uniprot
Ogataea philodendri	A5LGF3_9ASCO	uniprot
Thanatephorus cucumeris	M5C9N9_THACB	uniprot
